Sales,Buy,Duration,PageViews
0,No Buy,1,4
0,No Buy,1,4
0,No Buy,15,4
0,No Buy,8,3
0,No Buy,1,3
0,No Buy,14,3
0,No Buy,1,4
0,No Buy,2,7
0,No Buy,11,3
0,No Buy,1,3
0,No Buy,1,2
0,No Buy,1,2
0,No Buy,6,6
0,No Buy,1,2
0.99,Buy,96,29
0,No Buy,26,2
0.99,Buy,9,6
0,No Buy,1,2
0,No Buy,1,2
0.99,Buy,4,4
0.99,Buy,2,2
0.99,Buy,1,2
0.99,Buy,9,3
0.99,Buy,8,11
0.99,Buy,15,17
0.99,Buy,38,19
0,No Buy,119,67
0,No Buy,6,3
0,No Buy,3,5
0,No Buy,22,17
0,No Buy,2,4
0,No Buy,10,11
0,No Buy,2,6
0,No Buy,4,6
0,No Buy,2,5
0,No Buy,40,10
0,No Buy,3,9
0,No Buy,1,6
0,No Buy,1,4
0,No Buy,8,6
0,No Buy,13,6
0,No Buy,1,2
0,No Buy,13,5
0,No Buy,23,5
0,No Buy,2,3
0,No Buy,6,5
0,No Buy,10,10
0,No Buy,6,4
0.99,Buy,34,10
0,No Buy,2,1
0,No Buy,24,6
0,No Buy,39,11
0.99,Buy,2,2
0.99,Buy,1,2
0,No Buy,8,4
0,No Buy,49,25
0,No Buy,1,2
0,No Buy,56,32
0,No Buy,3,5
0,No Buy,1,4
0,No Buy,6,4
0,No Buy,6,4
0,No Buy,2,3
0,No Buy,15,4
0,No Buy,1,4
0,No Buy,15,9
0,No Buy,32,5
0,No Buy,7,7
0,No Buy,44,30
0,No Buy,6,6
0,No Buy,17,4
0,No Buy,21,14
0,No Buy,13,7
0,No Buy,1,2
0,No Buy,7,13
0,No Buy,3,5
0,No Buy,1,5
0,No Buy,4,10
0,No Buy,2,4
0,No Buy,2,5
0,No Buy,9,10
0,No Buy,1,4
0,No Buy,8,7
0,No Buy,59,10
0,No Buy,47,18
0,No Buy,17,5
0,No Buy,28,16
0,No Buy,1,5
0,No Buy,93,13
199,Buy,20,32
0,No Buy,1,3
0,No Buy,1,3
0,No Buy,1,1
199,Buy,23,28
0,No Buy,9,3
0,No Buy,9,2
0,No Buy,22,7
0,No Buy,38,28
0,No Buy,44,52
0,No Buy,1,2
0,No Buy,1,4
0,No Buy,42,44
0,No Buy,1,4
0,No Buy,3,7
0,No Buy,2,4
0,No Buy,20,11
0,No Buy,15,14
0,No Buy,29,2
0,No Buy,26,9
0,No Buy,2,11
0,No Buy,20,8
0,No Buy,11,4
0,No Buy,9,7
0.99,Buy,3,3
0,No Buy,4,5
